[96/211] 02GY9GJRPQ89 {'tag': '02GY9GJRPQ89', 'error': None, 'crowns': [2, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 45, 'rejected': 1, 'delays': 2, 't': 180.1, 'secs': 0.18}
[97/211] 02GY9GJRQG2Q {'tag': '02GY9GJRQG2Q', 'error': None, 'crowns': [0, 1], 'expected': [0, 3], 'crowns_match': False, 'winner_match': True, 'accepted': 7, 'rejected': 1, 'delays': 0, 't': 180.1, 'secs': 0.03}
[98/211] 02GY9GJURY8G {'tag': '02GY9GJURY8G', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 52, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.11}
[99/211] 02GY9GJV00GV {'tag': '02GY9GJV00GV', 'error': None, 'crowns': [0, 1], 'expected': [1, 0], 'crowns_match': False, 'winner_match': False, 'accepted': 67, 'rejected': 0, 'delays': 1, 't': 180.1, 'secs': 0.16}
[100/211] 02GY9GJV8CVG {'tag': '02GY9GJV8CVG', 'error': None, 'crowns': [3, 1], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 119, 'rejected': 0, 'delays': 0, 't': 273.9, 'secs': 0.22}
[101/211] 02GY9GJVQGCQ {'tag': '02GY9GJVQGCQ', 'error': None, 'crowns': [3, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 35, 'rejected': 0, 'delays': 0, 't': 131.2, 'secs': 0.25}
[102/211] 02GY9GJVUP00 {'tag': '02GY9GJVUP00', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 51, 'rejected': 0, 'delays': 4, 't': 180.1, 'secs': 0.1}
[103/211] 02GY9GR902G8 {'tag': '02GY9GR902G8', 'error': None, 'crowns': [3, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': True, 'accepted': 19, 'rejected': 0, 'delays': 0, 't': 94.9, 'secs': 0.13}
[104/211] 02JY9G00V9CJ {'tag': '02JY9G00V9CJ', 'error': None, 'crowns': [3, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': True, 'accepted': 27, 'rejected': 1, 'delays': 1, 't': 131.7, 'secs': 0.15}
[105/211] 02JY9G020C2U {'tag': '02JY9G020C2U', 'error': None, 'crowns': [0, 1], 'expected': [0, 3], 'crowns_match': False, 'winner_match': True, 'accepted': 35, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.19}
[106/211] 02JY9G02LR0U {'tag': '02JY9G02LR0U', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 49, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.5}
[107/211] 02JY9G02UJL2 {'tag': '02JY9G02UJL2', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 52, 'rejected': 1, 'delays': 0, 't': 180.1, 'secs': 0.43}
[108/211] 02JY9G082QC2 {'tag': '02JY9G082QC2', 'error': None, 'crowns': [3, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 28, 'rejected': 0, 'delays': 0, 't': 134.7, 'secs': 0.15}
[109/211] 02JY9G08C0JV {'tag': '02JY9G08C0JV', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 48, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.23}
[110/211] 02JY9G08YCQG {'tag': '02JY9G08YCQG', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 57, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.1}
